journal,Publisher_abdc,ISSN,year_inception,FoR,abdc_ranking,year
Briefings in Real Estate Finance,Wiley-Blackwell Publishing,"1473-1894	","2001	",3504,C,2022
British Accounting Review,Elsevier,"0890-8389	","1968	",3501,A*,2022
British Actuarial Journal,Cambridge University Press,"1357-3217	","1998	",3502,B,2022
British Food Journal,Emerald Group Publishing,0007-070X,"1899	",3506,B,2022
British Journal of Educational Technology,Wiley-Blackwell Publishing,"0007-1013	","1970	",4609,A,2022
British Journal of Health Care Management,Mark Allen Group,"1358-0574	","1995	",3507,C,2022
British Journal of Industrial Relations,Wiley-Blackwell Publishing,"0007-1080	","1963	",3505,A*,2022
British Journal of Management,Wiley-Blackwell Publishing,"1045-3172	","1990	",3507,A,2022
British Journal of Mathematical and Statistical Psychology,Wiley-Blackwell Publishing,"0007-1102	","1947	",4905,B,2022
British Journal of Political Science,Cambridge University Press,"0007-1234	","1971	",3599,A,2022
British Journal of Psychology,Wiley-Blackwell Publishing,"0007-1269	","1904	",3507,A,2022
British Journal of Social Psychology,Wiley-Blackwell Publishing ,"0144-6665	","1962	",3507,A,2022
British Journal of Sociology,Wiley-Blackwell Publishing,"0007-1315	","1950	",3507,A,2022
British Tax Review,Sweet & Maxwell ,"0007-1870	","1956	",4801,A*,2022
Brookings Papers on Economic Activity,Brookings Institutions,"0007-2303	","1970	",3801,A,2022
Brussels Economic Review,Universite libre de Bruxelles,"0008-0195	","1958	",3801,C,2022
Building Research and Information,Taylor & Francis Online,"0961-3218	","1970	",3599,A,2022
Built Environment Project and Asset Management,Emerald Group Publishing,"2044-124X	","2011	",3599,B,2022
Bulletin for International Taxation,International Bureau of Fiscal Documentation,"1819-5490	","1946	",4801,B,2022
Bulletin of Applied Economics,Risk Market Journals,2056-3728,2014,3801,C,2022
Bulletin of Comparative Labour Relations,Wolters Kluwer,"0770-3724	","1975	",3505,C,2022
Bulletin of Economic Research,Wiley-Blackwell Publishing,"0307-3378	","1948	",3801,B,2022
Bulletin of Indonesian Economic Studies,Taylor & Francis Online,"0007-4918	","1965	",3801,B,2022
Bulletin of Monetary Economics and Banking,Bank Indonesia,1410-8046,1998,3502,C,2022
Bulletin of the Czech Econometric Society,The Czech Econometric Society,"1212-074X	","1994	",3802,C,2022
Business & Information Systems Engineering,Springer International Publishing,2363-7005,"2009	",4609,A,2022
Business and Economics Research Journal,Adem Anbar,"1309-2448	","2010	",3801,C,2022
Business and Human Rights Journal,Cambridge University Press,2057-0198,2016,4801,C,2022
Business and Politics,Cambridge University Press,"1369-5258	","1999	",3505,A,2022
Business and Professional Ethics Journal,"Institute for Business and Professional Ethics, DePaul University","0277-2027	","1981	",3507,C,2022
Business and Society,Sage Publications,"0007-6503	","1960	",3507,A,2022
Business and Society Review,Wiley-Blackwell Publishing,"0045-3609	","1900	",3507,C,2022
Business and Professional Communication Quarterly,Sage Publications,"2329-4906	","1935	",3507,C,2022
Business Economics,Springer International Publishing,"0007-666X	","1965	",3801,B,2022
Business Ethics Quarterly,Cambridge University Press,"1052-150X	","1991	",3507,A,2022
Business Ethics: A European review,Wiley-Blackwell Publishing,"0962-8770	","1992	",3507,B,2022
Business History,Taylor & Francis Online,"0007-6791	","1958	",3505,A,2022
Business History Review,Cambridge University Press,"0007-6805	","1926	",3505,A,2022
Business Horizons,Elsevier,"0007-6813	","1957	",3507,B,2022
Business Intelligence Journal,Data Warehousing Institute,"1547-2825	",2003,4609,C,2022
Business Law Review,Husson University,"1533-7421	","1968	",4801,C,2022
Business Law Today,American Bar Association ,"1059-9436	","1980	",4801,C,2022
Business Perspectives and Research,Sage Publications,2394-9937,2012,3507,C,2022
Business Process Management Journal,Emerald Group Publishing,"1463-7154	","1995	",4609,B,2022
Business Research Quarterly,Asociacion Cientifica de Economia y Direccion de la Empresa,2340-9436,"2014	",3507,B,2022
Business Strategy and the Environment,Wiley-Blackwell Publishing,"0964-4733	","1992	",3507,A,2022
Business Strategy Review,Wiley-Blackwell Publishing,"0955-6419	","1990	",3507,B,2022
Cadernos de Pos-Graduacao em Direito Politico e Economico,,"1678-2127	","2001	",3801,C,2022
California Management Review,Sage Publications,"0008-1256	","1958	",3507,A,2022
Cambridge Journal of Economics,Oxford University Press ,"0309-166X	","1977	",3801,A,2022
"Cambridge Journal of Regions, Economy and Society",Oxford University Press ,"1752-1378	","2008	",3801,B,2022
Cambridge Law Journal,Cambridge University Press,"0008-1973	","1921	",4801,A*,2022
Canadian Bar Review,Canadian Bar Association,"0008-3003	","1923	",4801,B,2022
Canadian Business Law Journal,Canada Law Book,"0319-3322	","1976	",4801,A,2022
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,Wiley-Blackwell Publishing,"0825-0383	","1984	",3507,B,2022
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,Wiley-Blackwell Publishing,"0008-3976	","1952	",3801,A,2022
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,Taylor & Francis Online,"0225-5189	","1980	",3801,B,2022
Canadian Journal of Economics / Revue Canadienne D'Economique,Wiley-Blackwell Publishing,"0008-4085	","1968	",3801,A,2022
Canadian Journal of Marketing Research,Marketing Research and Intelligence Association,"0829-4836	","1980	",3506,C,2022
Canadian Journal of Statistics,Wiley-Blackwell Publishing,"0319-5724	","1973	",4905,A,2022
Canadian Journal of Transportation,University of New Brunswick ,"1715-2127	","2007	",3509,C,2022
Canadian Public Policy / Analyse de Politiques,University of Toronto Press,"0317-0861	","1975	",3599,B,2022
Canadian Tax Journal,Canadian Tax Foundation,"0008-5111	","1953	",4801,A*,2022
Canberra Law Review,University of Canberra,"1320-6702	","1994	",4801,C,2022
Canterbury Law Review,University of Canterbury,"0112-0581	","1980	",4801,B,2022
Capital and Class,Sage Publications,"0309-8168	","1970	",3899,B,2022
Capital Markets Law Journal,Oxford University Press ,"1750-7219	","2006	",4801,A,2022
Capital Markets Review,Malaysian Finance Association and Bursa Malaysia,1823-4445,1993,3502,C,2022
Capitalism and Society,SSRN,"1932-0213	","2006	",3801,C,2022
Career Development and Transition for Exceptional Individuals,Sage Publications,"0885-7288	","1978	",3507,C,2022
Career Development International,Emerald Group Publishing,"1362-0436	","1996	",3505,B,2022
Case Studies on Transport Policy,Elsevier,"2213-624X	","2013	",3509,C,2022
Cayapa: revista venezolana de economia social,Universidad de los Andes ,"1317-5734	","2001	",3801,C,2022
Central Bank Review,Elsevier ,"1303-0701	","2001	",3502,C,2022
Central European Journal of Economic Modelling and Econometrics,Central European Journal of Economic Modelling and Econometrics,"2080-0886	","2009	",3802,C,2022
Central European Journal of Operations Research,Springer International Publishing,"1435-246X	","1993	",3509,C,2022
CESifo Economic Studies,Oxford University Press ,"1610-241X	","1955	",3801,C,2022
Charity Law and Practice Review,Key Haven Publications,0966-4041,1993,4801,B,2022
Chilean Journal of Statistics,Chilean Statistical Society,0718-7912,"2010	",4905,C,2022
China Accounting and Finance Review,Hong Kong Polytechnic University,"1029-807X	","1999	",3501,A,2022
China Agricultural Economic Review,Emerald Group Publishing,"1756-137X	","2008	",3801,C,2022
China and World Economy,Wiley-Blackwell Publishing,"1671-2234	","1993	",3801,B,2022
China Economic Review,Elsevier,"1043-951X	","1989	",3801,A,2022
China Finance Review International,Emerald Group Publishing Limited,"2044-1398	","2010	",3502,C,2022
China Information,Sage Publications,"0920-203X	","1986	",3599,B,2022
China Journal of Accounting Research,Elsevier,"1755-3091	","2008	",3501,B,2022
China Journal of Accounting Studies,Taylor & Francis Online,2169-7213 ,2013,3501,B,2022
The China Quarterly,Cambridge University Press,"0305-7410	","1960	",3599,A,2022
Chinese Management Studies,Emerald Group Publishing,"1750-614X	","2007	",3507,C,2022
Chinese Rural Economy,Chinese Rural Economy Press,"1002-8870	","1985	",3801,C,2022
"Choices: The Magazine of Food, Farm, and Resource Issues",American Agricultural Economics Association ,"0886-5558	","1986	",3899,C,2022
"Ciclos: en la historia, la economia y la sociedad",Universidad de Buenos Aires (UBA) ,"0327-4063	","1991	",3801,C,2022
Citizenship Studies,Taylor & Francis Online,"1362-1025	","1997	",3599,C,2022
Civil Justice Quarterly,Sweet & Maxwell ,"0261-9261	","1982	",4801,A,2022
Climate and Development,Taylor & Francis Online,1756-5529,2009,3899,B,2022
Climate Change Economics,World Scientific Publishing ,"2010-0078	","2010	",3899,B,2022
Climate Policy,Taylor & Francis Online,"1469-3062	","2001	",3507,C,2022
Cliometrica: journal of historical economics and econometric history,Springer International Publishing,"1863-2505	","2007	",3801,C,2022
Cogent Economics and Finance,Taylor & Francis,"2332-2039	","2013	",3801,B,2022
Cognitive Psychology,Elsevier ,"0010-0285	","1970	",3507,A,2022
Columbia Business Law Review,Columbia Business Law Review,"0898-0721	","1986	",4801,A,2022
Columbia Journal of Asian Law,Columbia Law School,"1094-8449	","1987	",4801,A,2022
Columbia Journal of Law and the Arts,Columbia University,"1544-4848	","1974	",4801,A,2022
Columbia Journal of Transnational Law,Columbia Society of International Law,"0010-1931	","1961	",4801,A,2022
Columbia Law Review,"Columbia Law Review Association, Inc.","0010-1958	","1901	",4801,A*,2022
Commercial Law Quarterly,Commercial Law Association,"0819-4262	","1968	",4801,C,2022
Common Law World Review,Sage Publications,"1473-7795	","1972	",4801,B,2022
Common Market Law Review,Kluwer Law International ,"0165-0750	","1963	",4801,B,2022
Commonwealth and Comparative Politics,Taylor & Francis Online,"1466-2043	","1961	",3599,C,2022
Communication & Sport,Sage Publications,2167-4809,2013,3504,B,2022
Communication Monographs,Taylor & Francis Online,"0363-7751	","1976	",3507,A,2022
Communication Research,Sage Publications,"0093-6502	","1974	",3599,A,2022
Communication Research and Practice,Taylor & Francis Online,2204-1451,2015,3506,C,2022
Communication Theory,Oxford University Press,"1050-3293	","1991	",3599,A,2022
Communications in Statistics: Theory and Methods,Taylor & Francis Online,"0361-0926	","1971	",4905,B,2022
Communications Law Bulletin,Australasian Communications Law Association,"0727-1301	","1981	",4801,C,2022
Communications of the ACM,Association for Computing Machinery,"0001-0782	","1958	",4609,A,2022
Communications of the Association for Information Systems,Association for Information Systems (AIS),"1529-3181	","1999	",4609,A,2022
Community Development Journal,Oxford University Press ,"0010-3802	","1949	",3507,B,2022
"Community, Work and Family",Taylor & Francis Online,"1366-8803	","1998	",3507,C,2022
Company and Securities Law Journal,Thomson Reuters,"0729-2775	","1982	",4801,A,2022
Company Lawyer,Sweet & Maxwell ,"0144-1027	","1980	",4801,B,2022
Comparative Economic Studies,Springer International Publishing,"0888-7233	","1958	",3899,B,2022
Comparative Labor Law and Policy Journal,University of Illinois Press,"1095-6654	","1967	",4801,A,2022
Comparative Political Studies,Sage Publications,"0010-4140	","1968	",3599,B,2022
Comparative Politics,City University of New York ,"0010-4159	","1968	",3599,A,2022
Competition and Change,Sage Publications ,"1024-5294	","1995	",3505,B,2022
Competition and Consumer Law Journal,LexisNexis,"1039-5598	","1993	",4801,A,2022
Competition and Regulation in Network Industries,Sage Publications,"1783-5917	","2000	",3801,B,2022
Competition Law Journal,Edward Elgar Publishing,"1476-9085	","2002	",4801,C,2022
Competitiveness Review,Emerald Group Publishing,"1059-5422	","1991	",3507,C,2022
Comptabilité - Contrôle - Audit,Association Francophone de Comptabilité FRANCE,1262-2788,1995,3501,B,2022
Computational Economics,Springer International Publishing,"0927-7099	","1988	",3899,B,2022
Computational Management Science,Springer International Publishing,"1619-697X	","2003	",3503,B,2022
Computational Statistics and Data Analysis,Elsevier ,"0167-9473	","1983	",4905,A,2022
Computer and Telecommunications Law Review,Sweet & Maxwell ,"1357-3128	","1995	",4801,C,2022
Computer Law & Security Review,Elsevier,0267-3649,1985,4801,B,2022
Computer Supported Cooperative Work,Springer International Publishing,"0925-9724	","1992	",4609,B,2022
Computers & Industrial Engineering,Elsevier,0360-8352,1976,3503,A,2022
Computers and Operations Research,Elsevier,"0305-0548	","1974	",3509,A,2022
Computers and Security,Elsevier ,"0167-4048	","1982	",4609,A,2022
Computers in Human Behavior,Elsevier ,"0747-5632	","1985	",4609,A,2022
Conflict Management and Peace Science,Sage Publications,"0738-8942	","1974	",3507,B,2022
Conflict Resolution Quarterly,Wiley-Blackwell Publishing,"1536-5581	","1983	",3507,B,2022
Constitutional Political Economy,Springer International Publishing,"1043-4062	","1990	",3801,B,2022
Construction Economics and Building,UTS ePress,"1835-6354	","2001	",3504,C,2022
Construction Innovation,Emerald Group Publishing,"1471-4175	","2001	",3504,B,2022
Construction Law Journal,Sweet & Maxwell ,"0267-2359	","1984	",4801,B,2022
Construction Management and Economics,Taylor & Francis Online,"0144-6193	","1983	",3504,A,2022
Consumer Behavior in Tourism and Hospitality,Emerald Group Publishing,"2752-6666	","2007	",3508,B,2022
Consumer Finance Law Quarterly Report,Conference on Consumer Finance Law,"0883-4555	","1946	",4801,C,2022
"Consumption, Markets and Culture",Taylor & Francis Online,"1025-3866	","1997	",3506,B,2022
Contemporary Accounting Research,Wiley-Blackwell Publishing,"0823-9150	","1984	",3501,A*,2022
Contemporary Economic Policy,Wiley-Blackwell Publishing,"1074-3529	","1982	",3801,B,2022
Contemporary Economics,University of Finance and Management in Warsaw,"2084-0845	","2007	",3899,C,2022
Contemporary Sociology,Sage Publications,"0094-3061	","1972	",3507,C,2022
Contributions to Political Economy,Oxford University Press ,"0277-5921	","1982	",3801,B,2022
Copernican Journal of Finance & Accounting,Nicolaus Copernicus University Press,2300-1240,2012,3501,C,2022
Copyright Society of the USA Journal,Society of the USA,"0886-3520	","1953	",4801,B,2022
Cornell Hospitality Quarterly,Sage Publications,"1938-9655	","2008	",3504,A,2022
Cornell International Law Journal,Cornell Society of International Law,"0010-8812	","1967	",4801,B,2022
Cornell Law Review,Cornell Law School,"0010-8847	","1915	",4801,A*,2022
Corporate Board,Vanguard Publications,"0746-8652	","1980	",4801,C,2022
Corporate Communications,Emerald Group Publishing,"1356-3289	","1996	",3506,B,2022
Corporate Finance Review,"RIA Group, Boston","1089-327X	","1997	",3502,C,2022
